,Model,Augmentation Color Space,Criterion Color Space,Criterion,Final Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Loss Plot,Accuracy Plot
0,ViT,RGB,LAB,RMSE,0.00037089153192937374,0.0005392765742726624,0.00037089153192937374,0.0005392765742726624,./plots/ViT_RGB_LAB_RMSE_loss_2023-04-17 15:07:02.165503.png,./plots/ViT_RGB_LAB_RMSE_acc_2023-04-17 15:07:02.279125.png
1,ViT,RGB,RGB,RMSE,0.005136087071150541,0.0047354684211313725,0.005136087071150541,0.0047354684211313725,./plots/ViT_RGB_RGB_RMSE_loss_2023-04-17 15:14:12.839966.png,./plots/ViT_RGB_RGB_RMSE_acc_2023-04-17 15:14:12.900038.png
2,ViT,RGB,HSV,RMSE,0.06572599709033966,0.06956272572278976,0.06572599709033966,0.06956272572278976,./plots/ViT_RGB_HSV_RMSE_loss_2023-04-17 15:21:21.813665.png,./plots/ViT_RGB_HSV_RMSE_acc_2023-04-17 15:21:21.876467.png
3,ViT,RGB,Hue,RMSE,0.3833715319633484,0.42849433422088623,0.3833715319633484,0.42849433422088623,./plots/ViT_RGB_Hue_RMSE_loss_2023-04-17 15:27:50.984161.png,./plots/ViT_RGB_Hue_RMSE_acc_2023-04-17 15:27:51.048720.png
4,ViT,XYZ,LAB,RMSE,0.0005027694278396666,0.00029737898148596287,0.0005027694278396666,0.00029737898148596287,./plots/ViT_XYZ_LAB_RMSE_loss_2023-04-17 15:35:08.526704.png,./plots/ViT_XYZ_LAB_RMSE_acc_2023-04-17 15:35:08.585641.png
5,ViT,XYZ,RGB,RMSE,0.004810832440853119,0.003725443035364151,0.004810832440853119,0.003725443035364151,./plots/ViT_XYZ_RGB_RMSE_loss_2023-04-17 15:42:21.268503.png,./plots/ViT_XYZ_RGB_RMSE_acc_2023-04-17 15:42:21.337483.png
6,ViT,XYZ,HSV,RMSE,4.237081050872803,4.2766313552856445,4.237081050872803,4.2766313552856445,./plots/ViT_XYZ_HSV_RMSE_loss_2023-04-17 15:49:40.420960.png,./plots/ViT_XYZ_HSV_RMSE_acc_2023-04-17 15:49:40.477925.png
7,ViT,XYZ,Hue,RMSE,0.054542455822229385,0.09786337614059448,0.054542455822229385,0.09786337614059448,./plots/ViT_XYZ_Hue_RMSE_loss_2023-04-17 15:56:52.324749.png,./plots/ViT_XYZ_Hue_RMSE_acc_2023-04-17 15:56:52.387570.png
8,Beit,RGB,LAB,RMSE,0.001850818982347846,0.0007715406827628613,0.001850818982347846,0.0007715406827628613,./plots/Beit_RGB_LAB_RMSE_loss_2023-04-17 16:04:24.598215.png,./plots/Beit_RGB_LAB_RMSE_acc_2023-04-17 16:04:24.659805.png
9,Beit,RGB,RGB,RMSE,0.006292941514402628,0.005335454363375902,0.006292941514402628,0.005335454363375902,./plots/Beit_RGB_RGB_RMSE_loss_2023-04-17 16:11:59.551441.png,./plots/Beit_RGB_RGB_RMSE_acc_2023-04-17 16:11:59.608484.png
